source_path,silver_path,silver_slug,source_id,catalog_number,movement,silver_action,action,note
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor202.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_202.krn,bach_chorale_202.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor016.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_016.krn,bach_chorale_016.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor162.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_162.krn,bach_chorale_162.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor189.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_189.krn,bach_chorale_189.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor176.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_176.krn,bach_chorale_176.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor214.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_214.krn,bach_chorale_214.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor360.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_360.krn,bach_chorale_360.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor348.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_348.krn,bach_chorale_348.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor177.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_177.krn,bach_chorale_177.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor361.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_361.krn,bach_chorale_361.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor349.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_349.krn,bach_chorale_349.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor003.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_003.krn,bach_chorale_003.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor188.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_188.krn,bach_chorale_188.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor163.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_163.krn,bach_chorale_163.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor017.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_017.krn,bach_chorale_017.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor239.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_239.krn,bach_chorale_239.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor229.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_229.krn,bach_chorale_229.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor201.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_201.krn,bach_chorale_201.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor211.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_211.krn,bach_chorale_211.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor013.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_013.krn,bach_chorale_013.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor215.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_215.krn,bach_chorale_215.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor173.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_173.krn,bach_chorale_173.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor167.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_167.krn,bach_chorale_167.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor007.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_007.krn,bach_chorale_007.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor365.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_365.krn,bach_chorale_365.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor198.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_198.krn,bach_chorale_198.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor359.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_359.krn,bach_chorale_359.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor371.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_371.krn,bach_chorale_371.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor370.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_370.krn,bach_chorale_370.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor364.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_364.krn,bach_chorale_364.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor358.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_358.krn,bach_chorale_358.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor199.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_199.krn,bach_chorale_199.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor172.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_172.krn,bach_chorale_172.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor205.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_205.krn,bach_chorale_205.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor166.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_166.krn,bach_chorale_166.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor006.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_006.krn,bach_chorale_006.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor012.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_012.krn,bach_chorale_012.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor204.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_204.krn,bach_chorale_204.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor238.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_238.krn,bach_chorale_238.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor210.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_210.krn,bach_chorale_210.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor038.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_038.krn,bach_chorale_038.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor206.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_206.krn,bach_chorale_206.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor212.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_212.krn,bach_chorale_212.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor004.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_004.krn,bach_chorale_004.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor010.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_010.krn,bach_chorale_010.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor170.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_170.krn,bach_chorale_170.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor158.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_158.krn,bach_chorale_158.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor164.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_164.krn,bach_chorale_164.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor171.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_171.krn,bach_chorale_171.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor366.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_366.krn,bach_chorale_366.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor367.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_367.krn,bach_chorale_367.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor165.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_165.krn,bach_chorale_165.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor159.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_159.krn,bach_chorale_159.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
/Users/auradelagg/aura-lab/bach-propagation/backend/data/raw/bulk_xml/bach-chorales-371/kern/chor213.krn,/Users/auradelagg/aura-lab/bach-propagation/backend/data/silver/bach/chorales/bach_chorale_213.krn,bach_chorale_213.krn,bulk_chorales_371,,Chorale,KEEP_PRIMARY,RENAME,BWV requires manifest lookup
