file_path,filename,extension,size_bytes,content_hash,composer,work_title,bwv_number,movement_num,movement_name,catalog_number_raw,key_signature,time_signature,tempo_bpm,part_count,instrumentation,measure_count,note_count_estimate,format_detected,has_lyrics,is_choral,audit_status,audit_warnings,parse_error_msg
data/raw/bulk_xml/bach-chorales-371/kern/chor316.krn,chor316.krn,.krn,2560,6235afe847ef614291429b93339c8e7d220db3175efa7d990c9b856d494bb5b4,"Bach, Johann Sebastian","Christus, der ist mein Leben, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,3/4,100,4,Voice | Voice | Voice | Voice,20,172,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor302.krn,chor302.krn,.krn,3151,e55015de429e49fbc3abae8b065bccf9c33475b231021c847d143dd152df1e12,"Bach, Johann Sebastian","Hilf, Gott, la&szlig; mir's gelingen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,F major,3/4,100,4,Voice | Voice | Voice | Voice,23,241,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor128.krn,chor128.krn,.krn,2647,590d80c2f99f4dfc78831cd0ebe6b4a63426c57f138db61db13e7379e2bdd96d,"Bach, Johann Sebastian","Alles ist an Gottes Segen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,G major,4/4,100,4,Voice | Voice | Voice | Voice,12,237,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor048.krn,chor048.krn,.krn,2532,bf292d4047f5e7156a2b72dafb2597723afa09cdb3e9efd1b4a6d13a65bbe35e,"Bach, Johann Sebastian","Ach wie fl&uuml;chtig, ach wie nichtig, Oh how fleeting, oh how fading, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,10,188,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor114.krn,chor114.krn,.krn,2635,004e167671d0f87528f915a899f3bc94b9d8f65d36c85f0e3c979423399768e4,"Bach, Johann Sebastian","Von Gott will ich nicht lassen, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,C major,4/4,100,4,Voice | Voice | Voice | Voice,14,207,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor100.krn,chor100.krn,.krn,2845,285b0e3d71af76b4c924ebd4c46f99c35a02067689bd9f5496e5bd036b59cbde,"Bach, Johann Sebastian","Durch Adams Fall ist ganz verderbt, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,15,239,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor060.krn,chor060.krn,.krn,2525,3ba16069ee1badf8ad60191192057f45f4b61eaa7f5179a5190a60a4f2c3eae6,"Bach, Johann Sebastian","Ich freue mich in dir, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,D major,4/4,100,4,Voice | Voice | Voice | Voice,14,183,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor074.krn,chor074.krn,.krn,2556,47f498980dce5948b985dc6dbd1b87c0e9a0925ef8f03b774889ab2b434fcddf,"Bach, Johann Sebastian","O Haupt voll Blut und Wunden, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,F major,4/4,100,4,Voice | Voice | Voice | Voice,14,192,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor289.krn,chor289.krn,.krn,2609,b996b7f7466ccd3a092bd324ecc606e6ded2db5be60b753f5817aa435555f654,"Bach, Johann Sebastian","Nun ruhen alle W&auml;lder, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,B- major,4/4,100,4,Voice | Voice | Voice | Voice,13,220,Score,False,False,WARNING,no_bwv,
data/raw/bulk_xml/bach-chorales-371/kern/chor262.krn,chor262.krn,.krn,2651,75851fbecfc94509f6f1b7b22b62220bc901bb090a845ef2e4cc80eacbc46541,"Bach, Johann Sebastian","Ach Gott, vom Himmel sieh darein, Oh God, look down from Heaven, Chorale @{PC#}. @{OTL@@DE} (@{SCT})",,,,,F major,4/4,100,4,Voice | Voice | Voice | Voice,13,190,Score,False,False,WARNING,no_bwv,
